,week,customer,employee,total,p.cust,p.emp,p.tot
19,2020-02-24,1450659,221247,1671906,1,1,1
20,2020-03-02,1216646,191967,1408613,0.83868503900641,0.867659222497932,0.842519256465375
21,2020-03-09,1001698,161324,1163022,0.690512380924807,0.729157909485778,0.695626428758555
22,2020-03-16,610446,115861,726307,0.420805992311081,0.523672637369094,0.434418561809097
23,2020-03-23,475260,108632,583892,0.327616621135636,0.490998748005623,0.349237337505817
24,2020-03-30,438828,82168,520996,0.302502517821211,0.371385826700475,0.311617997662548
25,2020-04-06,440093,76221,516314,0.303374535297406,0.344506366188016,0.308817600989529
26,2020-04-13,446301,78240,524541,0.307653969678608,0.353631913653067,0.313738332178962
27,2020-04-20,465357,88678,554035,0.320790068513689,0.400809954485259,0.331379276107628
28,2020-04-27,483904,85967,569871,0.333575292332657,0.388556680994545,0.340851100480529
29,2020-05-04,551580,81563,633143,0.380227193296288,0.368651326345668,0.378695333350081
30,2020-05-11,532715,89645,622360,0.367222758759984,0.405180635217653,0.372245808077727
31,2020-05-18,553028,93593,646621,0.381225360336233,0.423024944971005,0.38675679135071
32,2020-05-25,542556,88086,630642,0.374006572185469,0.398134211989315,0.377199435853451
33,2020-06-01,625353,90545,715898,0.431082011692617,0.409248486985134,0.428192733323524
34,2020-06-15,625353,90545,715898,0.531082011692617,0.509248486985134,0.428192733323524
35,2020-09-01,625353,90545,715898,0.831082011692617,0.809248486985134,0.428192733323524
